IDX	,	ID	,	FORM_NAME	,	TEXT_KOREA	,	TEXT_CHINA	,	TEXT_ENGLISH	,	TEXT_VIETNAM
156	,	BtnTitleFileServerIP	,	CFormConfigMCCLog	,	파일 서버 IP	,	FILE SERVER IP	,	FILE SERVER IP	,	FILE SERVER IP
157	,	BtnTitleFileServerPort	,	CFormConfigMCCLog	,	파일 서버 PORT	,	FILE SERVER PORT	,	FILE SERVER PORT	,	FILE SERVER PORT
158	,	BtnTitleBasicPath	,	CFormConfigMCCLog	,	기본 경로	,	BASIC PATH	,	BASIC PATH	,	BASIC PATH
159	,	BtnTitleFileServerLoginID	,	CFormConfigMCCLog	,	로그인 ID	,	LOGIN ID	,	LOGIN ID	,	LOGIN ID
160	,	BtnTitleFileServerLoginPassword	,	CFormConfigMCCLog	,	로그인 암호	,	LOGIN PASSWORD	,	LOGIN PASSWORD	,	LOGIN PASSWORD
161	,	BtnTitleLoggingTime	,	CFormConfigMCCLog	,	로깅 시간	,	LOGGING TIME	,	LOGGING TIME	,	LOGGING TIME
162	,	BtnTitleLogDeletePeriod	,	CFormConfigMCCLog	,	로그 보관 기간	,	LOG RETENTION PERIOD	,	LOG RETENTION PERIOD	,	LOG RETENTION PERIOD
163	,	BtnTitleLogUploadTime	,	CFormConfigMCCLog	,	로그 업로드 시간	,	LOG UPLOAD TIME	,	LOG UPLOAD TIME	,	LOG UPLOAD TIME
164	,	BtnUseMCC	,	CFormConfigMCCLog	,	MCC 사용	,	USE MCC	,	USE MCC	,	USE MCC
165	,	BtnSave	,	CFormConfigMCCLog	,	저장	,	SAVE	,	SAVE	,	SAVE
166	,	BtnLoad	,	CFormConfigMCCLog	,	불러오기	,	LOAD	,	LOAD	,	LOAD
167	,	BtnTitleUploadStatus	,	CFormConfigMCCLog	,	업로드 상태	,	UPLOAD STATUS	,	UPLOAD STATUS	,	UPLOAD STATUS
168	,	BtnTitleNextScheduleLessTime	,	CFormConfigMCCLog	,	다음 업로드까지 남은 시간	,	NEXT SCHEDULE LESS TIME	,	NEXT SCHEDULE LESS TIME	,	NEXT SCHEDULE LESS TIME
169	,	BtnTitleUploadInformation	,	CFormConfigMCCLog	,	업로드 정보	,	UPLOAD INFORMATION	,	UPLOAD INFORMATION	,	UPLOAD INFORMATION
170	,	BtnTitleUploadCompleted	,	CFormConfigMCCLog	,	업로드 완료	,	UPLOAD COMPLETED	,	UPLOAD COMPLETED	,	UPLOAD COMPLETED
171	,	BtnTitleLastUploadSuccessed	,	CFormConfigMCCLog	,	마지막 업로드 성공 여부	,	LAST UPLOAD SUCCESSED	,	LAST UPLOAD SUCCESSED	,	LAST UPLOAD SUCCESSED
172	,	BtnManualUpload	,	CFormConfigMCCLog	,	수동 업로드	,	MANUAL UPLOAD	,	MANUAL UPLOAD	,	MANUAL UPLOAD
173	,	BtnTitleOptionView	,	CFormConfigOption	,	설정	,	OPTION	,	OPTION	,	OPTION
174	,	BtnTitleRunMode	,	CFormConfigOption	,	설비 운영 모드	,	RUN MODE	,	RUN MODE	,	RUN MODE
175	,	BtnTitleSystemConfig	,	CFormConfigOption	,	시스템 설정	,	SYSTEM CONFIG	,	SYSTEM CONFIG	,	SYSTEM CONFIG
176	,	BtnRealRun	,	CFormConfigOption	,	실제 런	,	REAL RUN	,	REAL RUN	,	REAL RUN
177	,	BtnUnlinkDryrun	,	CFormConfigOption	,	단동 드라이런	,	UNLINK DRYRUN	,	UNLINK DRYRUN	,	UNLINK DRYRUN
178	,	BtnUseBuzzer	,	CFormConfigOption	,	버저 사용	,	USE BUZZER	,	USE BUZZER	,	USE BUZZER
179	,	BtnUseCIM	,	CFormConfigOption	,	CIM 사용	,	USE CIM	,	USE CIM	,	USE CIM
180	,	BtnUseBinPrime	,	CFormConfigOption	,	BINPRIME 사용	,	USE BINPRIME	,	USE BINPRIME	,	USE BINPRIME
181	,	BtnUseMCR	,	CFormConfigOption	,	MCR 사용	,	USE MCR	,	USE MCR	,	USE MCR
182	,	BtnFunctionList	,	CFormConfigOption	,	기능 목록	,	FUNCTION LIST	,	FUNCTION LIST	,	FUNCTION LIST
183	,	BtnSave	,	CFormConfigOption	,	저장	,	SAVE	,	SAVE	,	SAVE
184	,	BtnLoad	,	CFormConfigOption	,	불러오기	,	LOAD	,	LOAD	,	LOAD
185	,	BtnTitleOperationOption	,	CFormConfigOption	,	운전 옵션	,	OPERATION CONFIG	,	OPERATION CONFIG	,	Tùy chọn vận hành ( OPERATION CONFIG ) 
186	,	BtnTitleResultWaitAlarmCount	,	CFormConfigOption	,	외관 검사기 결과 대기 타임아웃 중알람 횟수	,	RESULT WAIT TIMEOUT ALARM COUNT	,	RESULT WAIT TIMEOUT ALARM COUNT	,	RESULT WAIT TIMEOUT ALARM COUNT
187	,	BtnTitleCimConfig	,	CFormConfigOption	,	CIM 설정	,	CIM CONFIG	,	CIM CONFIG	,	CIM CONFIG
188	,	BtnTitleFanAlarmTime	,	CFormConfigOption	,	팬 알람 지연 시간	,	FAN ALARM DELAY TIME	,	FAN ALARM DELAY TIME	,	Thời gian chậm chễ FAN ALARM ( FAN ALARM DELAY TIME )
189	,	BtnTitlePasswordModeSelect	,	CFormConfigOption	,	비밀번호 모드 선택	,	PASSWORD MODE SELECT	,	PASSWORD MODE SELECT	,	PASSWORD MODE SELECT
190	,	BtnTitleMaterialsManagement	,	CFormConfigOption	,	자재 관리	,	MATERIALS MANAGEMENT	,	MATERIALS MANAGEMENT	,	MATERIALS MANAGEMENT
191	,	BtnUseMaterialsManagement	,	CFormConfigOption	,	사용	,	USE	,	USE	,	USE
192	,	BtnTitleTrackInManualProductId	,	CFormConfigOption	,	트랙인 수동 PRODUCT ID	,	TRACK IN MANUAL PRODUCT ID	,	TRACK IN MANUAL PRODUCT ID	,	TRACK IN MANUAL PRODUCT ID
193	,	BtnCellInputTimeClear	,	CFormConfigOption	,	자재 투입 시간 초기화	,	CELL INPUT TIME CLEAR	,	CELL INPUT TIME CLEAR	,	CELL INPUT TIME CLEAR
194	,	BtnTitleConveyorOption	,	CFormConfigOption	,	컨베이어 옵션	,	CONVEYOR OPTION	,	CONVEYOR OPTION	,	CONVEYOR OPTION
195	,	BtnUseOutConveyorInputCheck	,	CFormConfigOption	,	OUT컨베이어 투입 감지 사용	,	USE OUT CONVEYOR INPUT CHECK	,	USE OUT CONVEYOR INPUT CHECK	,	USE OUT CONVEYOR INPUT CHECK
196	,	BtnUseOutConveyorOutputCheck	,	CFormConfigOption	,	OUT컨베이어 배출 감지 사용	,	USE OUT CONVEYOR OUTPUT CHECK	,	USE OUT CONVEYOR OUTPUT CHECK	,	USE OUT CONVEYOR OUTPUT CHECK
197	,	BtnUseOutConveyorBlockedCheck	,	CFormConfigOption	,	OUT컨베이어 자재쌓임 감지 사용	,	USE OUT CONVEYOR BLOCKED CHECK	,	USE OUT CONVEYOR BLOCKED CHECK	,	USE OUT CONVEYOR BLOCKED CHECK
198	,	BtnTitleLowEnergyMode	,	CFormConfigOption	,	저전력 모드	,	LOW ENERGY MODE	,	LOW ENERGY MODE	,	LOW ENERGY MODE
199	,	BtnSubTitleLowEnergyModeFfuNormalRpm	,	CFormConfigOption	,	FFU 정상 RPM	,	FFU NORMAL RPM	,	FFU NORMAL RPM	,	FFU NORMAL RPM
200	,	BtnSubTitleLowEnergyModeFfuSlowRpm	,	CFormConfigOption	,	FFU 저속 RPM	,	FFU SLOW RPM	,	FFU SLOW RPM	,	FFU SLOW RPM
201	,	BtnUseLowEnergyMode	,	CFormConfigOption	,	사용	,	USE	,	USE	,	USE
202	,	BtnTitleOutRobotTurnCylinderOption	,	CFormConfigOption	,	OUT로봇 배출 실린더 옵션	,	OUT ROBOT TURN CYLINDER OPTION	,	OUT ROBOT TURN CYLINDER OPTION	,	OUT ROBOT TURN CYLINDER OPTION
203	,	BtnSubTitleOutRobotTurnCylinderOptionOk	,	CFormConfigOption	,	양품	,	OK	,	OK	,	OK
204	,	BtnSubTitleOutRobotTurnCylinderOptionNg	,	CFormConfigOption	,	불량	,	NG	,	NG	,	NG
205	,	BtnOutRobotTurnCylinderOptionOkTurn	,	CFormConfigOption	,	회전	,	TURN	,	TURN	,	TURN
206	,	BtnOutRobotTurnCylinderOptionOkReturn	,	CFormConfigOption	,	복귀	,	RETURN	,	RETURN	,	RETURN
207	,	BtnOutRobotTurnCylinderOptionNgTurn	,	CFormConfigOption	,	회전	,	TURN	,	TURN	,	TURN
208	,	BtnOutRobotTurnCylinderOptionNgReturn	,	CFormConfigOption	,	복귀	,	RETURN	,	RETURN	,	RETURN
209	,	BtnTitleStageVacuumOption	,	CFormConfigOption	,	스테이지 진공 옵션	,	STAGE VACUUM OPTION	,	STAGE VACUUM OPTION	,	STAGE VACUUM OPTION
210	,	BtnInspStageVacuumMode1	,	CFormConfigOption	,	모드1	,	MODE1	,	MODE1	,	MODE1
211	,	BtnInspStageVacuumMode2	,	CFormConfigOption	,	모드2	,	MODE2	,	MODE2	,	MODE2
212	,	BtnInspStageVacuumMode3	,	CFormConfigOption	,	모드3	,	MODE3	,	MODE3	,	MODE3
213	,	BtnTitleRecipeList	,	CFormConfigRecipe	,	레시피 목록	,	RECIPE LIST	,	RECIPE LIST	,	RECIPE LIST
214	,	BtnTitleRecipeInfo	,	CFormConfigRecipe	,	레시피 정보	,	RECIPE INFORMATION	,	RECIPE INFORMATION	,	RECIPE INFORMATION
215	,	BtnTitleSelectedPPID	,	CFormConfigRecipe	,	선택된 PPID	,	SELECTED PPID	,	SELECTED PPID	,	SELECTED PPID
216	,	BtnSave	,	CFormConfigRecipe	,	저장	,	SAVE	,	SAVE	,	SAVE
217	,	BtnLoad	,	CFormConfigRecipe	,	불러오기	,	LOAD	,	LOAD	,	LOAD
218	,	BtnDelete	,	CFormConfigRecipe	,	삭제	,	DELETE	,	DELETE	,	DELETE
219	,	BtnCreate	,	CFormConfigRecipe	,	생성	,	CREATE	,	CREATE	,	CREATE
220	,	BtnTitleCreatePPID	,	CFormConfigRecipe	,	PPID	,	PPID	,	PPID	,	PPID
221	,	BtnTitleCreatePpidNumber	,	CFormConfigRecipe	,	PPID 번호	,	PPID NUMBER	,	PPID NUMBER	,	PPID NUMBER
222	,	BtnTitlePPID	,	CFormConfigRecipe	,	PPID	,	PPID	,	PPID	,	PPID
223	,	BtnFirstPage	,	CFormConfigRecipe	,	처음으로	,	FIRST PAGE	,	FIRST PAGE	,	FIRST PAGE
224	,	BtnPriviousPage	,	CFormConfigRecipe	,	이전	,	PREVIOUS	,	PREVIOUS	,	PREVIOUS
225	,	BtnNextPage	,	CFormConfigRecipe	,	다음	,	NEXT	,	NEXT	,	NEXT
226	,	BtnLastPage	,	CFormConfigRecipe	,	마지막으로	,	LAST PAGE	,	LAST PAGE	,	LAST PAGE
227	,	mResourceCreateOffsetOptionTitle	,	CFormConfigRecipe	,	모델 생성 옵션 선택	,	SELECT CREATE MODEL OPTION	,	SELECT CREATE MODEL OPTION	,	SELECT CREATE MODEL OPTION
228	,	mResourceCreateOffsetOption1	,	CFormConfigRecipe	,	N: 오프셋 값 초기화 후 생성	,	N: RESET OFFSET AND CREATE	,	N: RESET OFFSET AND CREATE	,	N: RESET OFFSET AND CREATE
229	,	mResourceCreateOffsetOption2	,	CFormConfigRecipe	,	O: 기존 오프셋 값 참조 후 생성	,	O: LOAD OFFSET AND CREATE	,	O: LOAD OFFSET AND CREATE	,	O: LOAD OFFSET AND CREATE
230	,	mResourceDeleteOffsetOptionTitle	,	CFormConfigRecipe	,	모델 삭제 옵션 선택	,	SELECT DELETE MODEL OPTION	,	SELECT DELETE MODEL OPTION	,	SELECT DELETE MODEL OPTION
231	,	mResourceDeleteOffsetOption1	,	CFormConfigRecipe	,	D: 오프셋 값 초기화 후 삭제	,	D: RESET OFFSET AND DELETE	,	D: RESET OFFSET AND DELETE	,	D: RESET OFFSET AND DELETE
232	,	mResourceDeleteOffsetOption2	,	CFormConfigRecipe	,	G: 오프셋 값 유지 후 삭제	,	G: KEEP OFFSET AND DELETE	,	G: KEEP OFFSET AND DELETE	,	G: KEEP OFFSET AND DELETE
233	,	mResourceCommonOffsetOptionCancel	,	CFormConfigRecipe	,	취소	,	CANCEL	,	CANCEL	,	CANCEL
234	,	BtnTitleOffsetList	,	CFormConfigOffset	,	오프셋 값 목록	,	OFFSET LIST	,	OFFSET LIST	,	OFFSET LIST
235	,	BtnTitleOffsetInfo	,	CFormConfigOffset	,	오프셋 값 정보	,	OFFSET INFORMATION	,	OFFSET INFORMATION	,	OFFSET INFORMATION
236	,	BtnTitleSelectedPpidNumber	,	CFormConfigOffset	,	선택된 PPID 번호	,	SELECTED PPID NUMBER	,	SELECTED PPID NUMBER	,	SELECTED PPID NUMBER
237	,	BtnSave	,	CFormConfigOffset	,	저장	,	SAVE	,	SAVE	,	SAVE
238	,	BtnLoad	,	CFormConfigOffset	,	불러오기	,	LOAD	,	LOAD	,	LOAD
239	,	BtnDelete	,	CFormConfigOffset	,	삭제	,	DELETE	,	DELETE	,	DELETE
240	,	BtnCopy	,	CFormConfigOffset	,	현재 레시피로 복사	,	COPY TO CURRENT RECIPE	,	COPY TO CURRENT RECIPE	,	COPY TO CURRENT RECIPE
241	,	BtnTitlePpidNumber	,	CFormConfigOffset	,	PPID 번호	,	PPID NUMBER	,	PPID NUMBER	,	PPID NUMBER
242	,	BtnFirstPage	,	CFormConfigOffset	,	처음으로	,	FIRST PAGE	,	FIRST PAGE	,	FIRST PAGE
243	,	BtnPriviousPage	,	CFormConfigOffset	,	이전	,	PREVIOUS	,	PREVIOUS	,	PREVIOUS
244	,	BtnNextPage	,	CFormConfigOffset	,	다음	,	NEXT	,	NEXT	,	NEXT
245	,	BtnLastPage	,	CFormConfigOffset	,	마지막으로	,	LAST PAGE	,	LAST PAGE	,	LAST PAGE
246	,	BtnTitleLampSetting	,	CFormConfigSignalTower	,	램프 설정	,	LAMP SETTING	,	LAMP SETTING	,	LAMP SETTING
247	,	BtnTitleInitialize	,	CFormConfigSignalTower	,	INITIALIZE	,	INITIALIZE	,	INITIALIZE	,	INITIALIZE
248	,	BtnTitleRunning	,	CFormConfigSignalTower	,	RUNNING	,	RUNNING	,	RUNNING	,	RUNNING
249	,	BtnTitleIdle	,	CFormConfigSignalTower	,	IDLE	,	IDLE	,	IDLE	,	IDLE
250	,	BtnTitleStop	,	CFormConfigSignalTower	,	STOP	,	STOP	,	STOP	,	STOP
251	,	BtnTitleRunDelay	,	CFormConfigSignalTower	,	RUN DELAY	,	RUN DELAY	,	RUN DELAY	,	RUN DELAY
252	,	BtnTitleLightAlarm	,	CFormConfigSignalTower	,	LIGHT ALARM	,	LIGHT ALARM	,	LIGHT ALARM	,	LIGHT ALARM
253	,	BtnTitleFault	,	CFormConfigSignalTower	,	FAULT	,	FAULT	,	FAULT	,	FAULT
254	,	BtnTitlePM	,	CFormConfigSignalTower	,	PM	,	PM	,	PM	,	PM
255	,	BtnTitleOpCall	,	CFormConfigSignalTower	,	OP CALL	,	OP CALL	,	OP CALL	,	OP CALL
256	,	BtnTitleInterlock	,	CFormConfigSignalTower	,	INTERLOCK	,	INTERLOCK	,	INTERLOCK	,	INTERLOCK
257	,	BtnTitleShutDown	,	CFormConfigSignalTower	,	SHUT DOWN	,	SHUT DOWN	,	SHUT DOWN	,	SHUT DOWN
258	,	BtnTitleRed	,	CFormConfigSignalTower	,	RED	,	RED	,	RED	,	RED
259	,	BtnTitleYellow	,	CFormConfigSignalTower	,	YELLOW	,	YELLOW	,	YELLOW	,	YELLOW
260	,	BtnTitleGreen	,	CFormConfigSignalTower	,	GREEN	,	GREEN	,	GREEN	,	GREEN
261	,	BtnTitleBuzzer	,	CFormConfigSignalTower	,	BUZZER	,	BUZZER	,	BUZZER	,	BUZZER
262	,	BtnSave	,	CFormConfigSignalTower	,	저장	,	SAVE	,	SAVE	,	SAVE
263	,	BtnLoad	,	CFormConfigSignalTower	,	불러오기	,	LOAD	,	LOAD	,	LOAD
264	,	BtnTitle	,	CFormConfigWaitTime	,	대기 시간	,	WAIT TIME	,	WAIT TIME	,	WAIT TIME
265	,	BtnTitleCategory	,	CFormConfigWaitTime	,	분류	,	CATEGORY	,	CATEGORY	,	CATEGORY
266	,	BtnTitleWaitTimes	,	CFormConfigWaitTime	,	아이템	,	ITEMS	,	ITEMS	,	ITEMS
267	,	BtnNaviWaitTimesFirst	,	CFormConfigWaitTime	,	처음으로	,	FIRST PAGE	,	FIRST PAGE	,	FIRST PAGE
268	,	BtnNaviWaitTimesPrivious	,	CFormConfigWaitTime	,	이전	,	PREVIOUS	,	PREVIOUS	,	PREVIOUS
269	,	BtnNaviWaitTimesNext	,	CFormConfigWaitTime	,	다음	,	NEXT	,	NEXT	,	NEXT
270	,	BtnNaviWaitTimesLast	,	CFormConfigWaitTime	,	마지막으로	,	LAST PAGE	,	LAST PAGE	,	LAST PAGE
271	,	Category>CommTimeout	,	CFormConfigWaitTime	,	통신 대기시간	,	COMMUNICATION TIMEOUT	,	COMMUNICATION TIMEOUT	,	COMMUNICATION TIMEOUT
272	,	Category>Equipment	,	CFormConfigWaitTime	,	설비 인터페이스 시간	,	EQUIPMENT INTERFACE TIME	,	EQUIPMENT INTERFACE TIME	,	EQUIPMENT INTERFACE TIME
273	,	Category>Etc	,	CFormConfigWaitTime	,	기타 시간	,	ETC TIME	,	ETC TIME	,	ETC TIME
274	,	Item>CommTimeout>InspReplyTimeout	,	CFormConfigWaitTime	,	검사기 응답 대기 시간	,	INSPECTION REPLY TIMEOUT	,	INSPECTION REPLY TIMEOUT	,	INSPECTION REPLY TIMEOUT
275	,	Item>CommTimeout>InspGrabEndReplyTimeout	,	CFormConfigWaitTime	,	검사기 촬상 종료 응답 대기 시간	,	INSPECTION GRAB END REPLY TIMEOUT	,	INSPECTION GRAB END REPLY TIMEOUT	,	INSPECTION GRAB END REPLY TIMEOUT
276	,	Item>CommTimeout>InspResultTimeout	,	CFormConfigWaitTime	,	검사기 종합 결과 대기 시간	,	INSPECTION TOTAL RESULT TIMEOUT	,	INSPECTION TOTAL RESULT TIMEOUT	,	INSPECTION TOTAL RESULT TIMEOUT
277	,	Item>CommTimeout>RobotTimeout	,	CFormConfigWaitTime	,	로봇 응답 대기 시간	,	ROBOT TIMEOUT	,	ROBOT TIMEOUT	,	ROBOT TIMEOUT
278	,	Item>CommTimeout>AlignVisionTimeout	,	CFormConfigWaitTime	,	얼라인 응답 대기 시간	,	ALIGN VISION TIMEOUT	,	ALIGN VISION TIMEOUT	,	ALIGN VISION TIMEOUT
279	,	Item>CommTimeout>CimTrackingTimeout	,	CFormConfigWaitTime	,	CIM 트래킹 응답 대기 시간	,	CIM TRACKING TIMEOUT	,	CIM TRACKING TIMEOUT	,	CIM TRACKING TIMEOUT
280	,	Item>CommTimeout>CimLoginTimeout	,	CFormConfigWaitTime	,	CIM 로그인 응답 대기 시간	,	CIM LOGIN TIMEOUT	,	CIM LOGIN TIMEOUT	,	CIM LOGIN TIMEOUT
281	,	Item>Equipment>HeartbeatInterval	,	CFormConfigWaitTime	,	HEARTBEAT 신호 주기	,	HEARTBEAT SIGNAL INTERVAL	,	HEARTBEAT SIGNAL INTERVAL	,	HEARTBEAT SIGNAL INTERVAL
282	,	Item>Equipment>HeartbeatTimeout	,	CFormConfigWaitTime	,	HEARTBEAT 신호 응답 대기 시간	,	HEARTBEAT SIGNAL TIMEOUT	,	HEARTBEAT SIGNAL TIMEOUT	,	HEARTBEAT SIGNAL TIMEOUT
283	,	Item>Equipment>LoadInterfaceDelayTime	,	CFormConfigWaitTime	,	투입 인터페이스 손실 시간 확인 대기 시간	,	LOAD INTERFACE CHECK LOSS DELAY TIME	,	LOAD INTERFACE CHECK LOSS DELAY TIME	,	LOAD INTERFACE CHECK LOSS DELAY TIME
284	,	Item>Equipment>UnloadInterfaceDelayTime	,	CFormConfigWaitTime	,	배출 인터페이스 손실 시간 확인 대기 시간	,	UNLOAD INTERFACE CHECK LOSS DELAY TIME	,	UNLOAD INTERFACE CHECK LOSS DELAY TIME	,	UNLOAD INTERFACE CHECK LOSS DELAY TIME
285	,	Item>Equipment>UnloadInterfacePendingTime	,	CFormConfigWaitTime	,	배출 인터페이스 지연 경알람 발생 대기시간	,	UNLOAD INTERFACE CHECK PENDING TIME	,	UNLOAD INTERFACE CHECK PENDING TIME	,	UNLOAD INTERFACE CHECK PENDING TIME
286	,	Item>Etc>AutoLogout	,	CFormConfigWaitTime	,	자동 로그 아웃 시간	,	AUTO LOGOUT TIME	,	AUTO LOGOUT TIME	,	AUTO LOGOUT TIME
287	,	Item>Etc>SilentStopTimeout	,	CFormConfigWaitTime	,	무언 정지 알람 대기 시간	,	SILENT STOP ALARM TIMEOUT	,	SILENT STOP ALARM TIMEOUT	,	SILENT STOP ALARM TIMEOUT
288	,	Item>Etc>NoOperationDisplayDelay	,	CFormConfigWaitTime	,	작업 없음 다이얼로그 출력 대기 시간	,	DISPLAY NO OPERATION DIALOG DELAY TIME	,	DISPLAY NO OPERATION DIALOG DELAY TIME	,	DISPLAY NO OPERATION DIALOG DELAY TIME
289	,	Item>Etc>CellDetectSensorSensingTimeout	,	CFormConfigWaitTime	,	셀 감지 센서 감지 대기 시간	,	CELL DETECT SENSOR SENSING WAIT TIME	,	CELL DETECT SENSOR SENSING WAIT TIME	,	CELL DETECT SENSOR SENSING WAIT TIME
290	,	Item>Etc>LowEnergyModeChangeDelay	,	CFormConfigWaitTime	,	저전력 모드 전환 대기 시간	,	LOW ENERGY MODE TRANSITION WAITING TIME	,	LOW ENERGY MODE TRANSITION WAITING TIME	,	LOW ENERGY MODE TRANSITION WAITING TIME
291	,	BtnMainMenu[0]	,	CFormMain	,	전체 흐름	,	整个流程	,	FLOW	,	Dòng chảy toàn bộ
292	,	BtnMainMenu[1]	,	CFormMain	,	CIM	,	CIM	,	CIM	,	CIM
293	,	BtnTitle	,	CFormMainCIM	,	PARAMETER 목록	,	PARAMETER LIST	,	PARAMETER LIST	,	PARAMETER LIST
294	,	BtnTitleCIMTestMessage	,	CFormMainCIM	,	CIM 테스트 메시지	,	CIM TEST MESSAGE	,	CIM TEST MESSAGE	,	CIM TEST MESSAGE
295	,	BtnTitleParameterEditView	,	CFormMainCIM	,	PARAMETER 수정 화면	,	PARAMETER EDIT VIEW	,	PARAMETER EDIT VIEW	,	PARAMETER EDIT VIEW
296	,	BtnCimSystemMenu[0]	,	CFormMainCIM	,	FDC	,	FDC	,	FDC	,	FDC
297	,	BtnCimSystemMenu[1]	,	CFormMainCIM	,	EC	,	EC	,	EC	,	EC
298	,	BtnFirst	,	CFormMainCIM	,	처음으로	,	FIRST PAGE	,	FIRST PAGE	,	FIRST PAGE
299	,	BtnLast	,	CFormMainCIM	,	마지막으로	,	LAST PAGE	,	LAST PAGE	,	LAST PAGE
300	,	BtnNext	,	CFormMainCIM	,	다음	,	NEXT	,	NEXT	,	NEXT
301	,	BtnPrivious	,	CFormMainCIM	,	이전	,	PREVIOUS	,	PREVIOUS	,	PREVIOUS
302	,	BtnStart	,	CFormMainFlow	,	시작	,	START	,	START	,	START
303	,	BtnStop	,	CFormMainFlow	,	정지	,	STOP	,	STOP	,	STOP
304	,	BtnCycleStop	,	CFormMainFlow	,	사이클 정지	,	CYCLE STOP	,	CYCLE STOP	,	CYCLE STOP
305	,	BtnManual	,	CFormMainFlow	,	수동 	,	MANUAL	,	MANUAL	,	MANUAL
306	,	BtnAuto	,	CFormMainFlow	,	자동	,	AUTO	,	AUTO	,	AUTO
307	,	BtnTitleSafetyKey	,	CFormMainFlow	,	세이프티 키	,	SAFETY KEY	,	SAFETY KEY	,	SAFETY KEY
308	,	BtnLotEnd	,	CFormMainFlow	,	LOT 끝내고 정지	,	LOT END	,	LOT END	,	LOT END
309	,	BtnEquipmentBase	,	CFormMainFlow	,	설비	,	EQUIPMENT	,	EQUIPMENT	,	EQUIPMENT
310	,	BtnTitleRunMode	,	CFormMainFlow	,	동작 상태	,	RUN STATUS	,	RUN STATUS	,	RUN STATUS
311	,	BtnTitleRunModeType	,	CFormMainFlow	,	동작 모드	,	RUN MODE	,	RUN MODE	,	RUN MODE
312	,	BtnTitleTrayModel	,	CFormMainFlow	,	트레이 모델 ID	,	TRAY MODEL ID	,	TRAY MODEL ID	,	TRAY MODEL ID
313	,	BtnTitleOut	,	CFormMainFlow	,	언로드	,	OUT	,	OUT	,	OUT
314	,	BtnTitleWork	,	CFormMainFlow	,	작업중	,	WORK	,	WORK	,	WORK
315	,	BtnTitleIn	,	CFormMainFlow	,	로드	,	IN	,	IN	,	IN
316	,	BtnCellOut	,	CFormMainFlow	,	셀 아웃 ( 스크랩 )	,	CELL OUT ( SCRAP )	,	CELL OUT ( SCRAP )	,	CELL OUT ( SCRAP )
317	,	BtnTitleLoadSafety	,	CFormMainFlow	,	투입 인터페이스 신호 (안전)	,	LOAD I/F SIGNAL (SAFETY)	,	LOAD I/F SIGNAL (SAFETY)	,	LOAD I/F SIGNAL (SAFETY)
318	,	BtnTitleLoadHandshake	,	CFormMainFlow	,	투입 인터페이스 신호 (물류)	,	LOAD I/F SIGNAL (FLOW)	,	LOAD I/F SIGNAL (FLOW)	,	LOAD I/F SIGNAL (FLOW)
319	,	BtnLoadPending	,	CFormMainFlow	,	투입 인터페이스 정체중	,	LOAD I/F PENDING	,	LOAD I/F PENDING	,	LOAD I/F PENDING
320	,	BtnLoadHandshaking	,	CFormMainFlow	,	투입 인터페이스 진행중	,	LOAD I/F HANDSHAKING	,	LOAD I/F HANDSHAKING	,	LOAD I/F HANDSHAKING
321	,	BtnTitleUnloadHandshake	,	CFormMainFlow	,	배출 인터페이스 신호 (물류)	,	UNLOAD I/F SIGNAL (FLOW)	,	UNLOAD I/F SIGNAL (FLOW)	,	UNLOAD I/F SIGNAL (FLOW)
322	,	BtnMain	,	CFormMenu	,	메인	,	MAIN	,	MAIN	,	MAIN
323	,	BtnStatistics	,	CFormMenu	,	통계	,	STATISTICS	,	STATISTICS	,	STATISTICS
324	,	BtnConfig	,	CFormMenu	,	설정	,	CONFIG	,	CONFIG	,	CONFIG
325	,	BtnTeach	,	CFormMenu	,	티칭	,	TEACH	,	TEACH	,	TEACH
326	,	BtnAlarm	,	CFormMenu	,	알람	,	ALARM	,	ALARM	,	ALARM
327	,	BtnSetup	,	CFormMenu	,	셋업	,	SETUP	,	SETUP	,	SETUP
328	,	BtnExit	,	CFormMenu	,	종료	,	EXIT	,	EXIT	,	EXIT
329	,	BtnDoor	,	CFormPM	,	도어	,	DOOR	,	DOOR	,	DOOR
330	,	BtnSetupMenu[0]	,	CFormSetup	,	초기화	,	INITIALIZE	,	INITIALIZE	,	INITIALIZE
331	,	BtnSetupMenu[1]	,	CFormSetup	,	IO	,	IO	,	IO	,	IO
332	,	BtnSetupMenu[2]	,	CFormSetup	,	모션	,	MOTION	,	MOTION	,	MOTION
333	,	BtnSetupMenu[3]	,	CFormSetup	,	로봇 IO	,	ROBOT IO	,	ROBOT IO	,	ROBOT IO
334	,	BtnSetupMenu[4]	,	CFormSetup	,	로봇 오프셋	,	ROBOT OFFSET	,	ROBOT OFFSET	,	ROBOT OFFSET
335	,	BtnSetupMenu[5]	,	CFormSetup	,	데이터베이스	,	DB	,	DB	,	DB
336	,	BtnSetupMenu[6]	,	CFormSetup	,	검사 비전	,	INSEPCTION VISION	,	INSEPCTION VISION	,	INSEPCTION VISION
337	,	BtnSetupMenu[7]	,	CFormSetup	,	얼라인 비전	,	ALIGN VISION	,	ALIGN VISION	,	ALIGN VISION
338	,	BtnSetupMenu[8]	,	CFormSetup	,	설비 간 인터페이스	,	EQ TO EQ INTERFACE	,	EQ TO EQ INTERFACE	,	EQ TO EQ INTERFACE
