IDX	,	ID	,	FORM_NAME	,	TEXT_KOREA	,	TEXT_CHINA	,	TEXT_ENGLISH	,	TEXT_VIETNAM
38	,	BtnDescriptionCellTrackingNothing	,	CDialogEQPFunctionList	,	기능 없음	,	No Function	,	No Function	,	Không có khả năng hoạt động ( No Function )
39	,	BtnDescriptionTrackingControlTKIN	,	CDialogEQPFunctionList	,	TKIN Event Send/Wait( S6F11 CEID 401/411 )	,	TKIN Event Send/Wait( S6F11 CEID 401/412 )	,	TKIN Event Send/Wait( S6F11 CEID 401/413 )	,	TKIN Event Send/Wait( S6F11 CEID 401/411 )
40	,	BtnDescriptionTrackingControlTKOUT	,	CDialogEQPFunctionList	,	TKOUT Event Send/Wait( S6F11 CEID 406/412 )	,	TKOUT Event Send/Wait( S6F11 CEID 406/413 )	,	TKOUT Event Send/Wait( S6F11 CEID 406/414 )	,	TKOUT Event Send/Wait( S6F11 CEID 406/412 )
41	,	BtnDescriptionTrackingControlBOTH	,	CDialogEQPFunctionList	,	TKIN/ TKOUT Event Send/Wait	,	TKIN/ TKOUT Event Send/Wait	,	TKIN/ TKOUT Event Send/Wait	,	TKIN/ TKOUT Event Send/Wait
42	,	BtnDescriptionTrackingControlNothing	,	CDialogEQPFunctionList	,	기능 없음 또는 미사용	,	No Function or Unuse	,	No Function or Unuse	,	Không có khả năng hoạt động ( No Function ) hoặc không sử dụng 
43	,	BtnDescriptionMaterialTrackingOn	,	CDialogEQPFunctionList	,	Host Command Send/Wait 사용 ( Kitting/ Cancel )	,	Host Command Send/Wait Use ( Kitting/ Cancel )	,	Host Command Send/Wait Use ( Kitting/ Cancel )	,	Sử dụng Host Command Send/Wait ( Kitting/ Cancel )
44	,	BtnDescriptionMaterialTrackingOff	,	CDialogEQPFunctionList	,	Host Command Not Wait 미사용	,	Host Command Not Wait Unuse	,	Host Command Not Wait Unuse	,	Không sử dụng Host Command Not Wait 
45	,	BtnDescriptionMaterialTrackingNothing	,	CDialogEQPFunctionList	,	기능 없음	,	No Function	,	No Function	,	Không có khả năng hoạt động ( No Function )
46	,	BtnDescriptionCellMCRModeUse	,	CDialogEQPFunctionList	,	CELL ID READ ( CELL TRACKING 동기화 )	,	CELL ID READ ( CELL TRACKING Synchronization )	,	CELL ID READ ( CELL TRACKING Synchronization )	,	CELL ID READ ( Đồng bộ hóa CELL TRACKING  )
47	,	BtnDescriptionCellMCRModeUnuse	,	CDialogEQPFunctionList	,	CELL ID NOT READ	,	CELL ID NOT READ	,	CELL ID NOT READ	,	CELL ID NOT READ
48	,	BtnDescriptionCellMCRModeNothing	,	CDialogEQPFunctionList	,	기능 없음 또는 H/W	,	No Function or H/W	,	No Function or H/W	,	Không có khả năng hoạt động ( No Function ) hoặc  H/W
49	,	BtnDescriptionMaterialMCRModeUse	,	CDialogEQPFunctionList	,	MATERIAL ID READ ( MATERIAL TRACKING 동기화 )	,	MATERIAL ID READ ( MATERIAL TRACKING Synchronization )	,	MATERIAL ID READ ( MATERIAL TRACKING Synchronization )	,	MATERIAL ID READ ( Đồng bộ hóa MATERIAL TRACKING  )
50	,	BtnDescriptionMaterialMCRModeUnuse	,	CDialogEQPFunctionList	,	MATERIAL ID NOT READ	,	MATERIAL ID NOT READ	,	MATERIAL ID NOT READ	,	MATERIAL ID NOT READ
51	,	BtnDescriptionMaterialMCRModeNothing	,	CDialogEQPFunctionList	,	기능 없음 또는 H/W	,	No Function or H/W	,	No Function or H/W	,	Không có khả năng hoạt động ( No Function ) hoặc  H/W
52	,	BtnDescriptionLotAssignInfoAuto	,	CDialogEQPFunctionList	,	시스템 기준 정보 사용	,	System Reference Information Use	,	System Reference Information Use	,	Sử dụng thông tin hệ thống tiêu chuẩn 
53	,	BtnDescriptionLotAssignInfoManual	,	CDialogEQPFunctionList	,	사용자 입력 정보 사용	,	User Input Information Use	,	User Input Information Use	,	Sử dụng thông tin người dùng đăng nhập 
54	,	BtnDescriptionLotAssignInfoNothing	,	CDialogEQPFunctionList	,	기능 없음 또는 미사용	,	No Function or Unuse	,	No Function or Unuse	,	Không có khả năng hoạt động ( No Function ) hoặc không sử dụng 
55	,	BtnDescriptionAGVAccessModeAuto	,	CDialogEQPFunctionList	,	물류 자동 반송 운용	,	Logistics automatic return operation	,	Logistics automatic return operation	,	Vận dụng chuyển lưu thông tự động 
56	,	BtnDescriptionAGVAccessModeManual	,	CDialogEQPFunctionList	,	물류 수동 반송 운용	,	Logistics manual return operation	,	Logistics manual return operation	,	Vận dụng chuyển lưu thông bằng tay 
